LAD13CD,LAD13CDO,LAD13NM,FLUOCC,C_LAT,C_LON,TOTALOCC,RATE
E07000146,33UE,King's Lynn and West Norfolk,1,52.72709367546739,0.471075369306163,219,"0,45662100456621"
E07000147,33UF,North Norfolk,1,52.85033556751977,1.16953220967784,127,"0,78740157480315"
E07000148,33UG,Norwich,12,52.63179655972743,1.2828454546977588,2542,"0,4720692368214"
E07000149,33UH,South Norfolk,33,52.51453849508987,1.2760192090391786,57,"57,8947368421053"
E07000150,34UB,Corby,3,52.499041063915335,-0.6959006504509383,271,"1,1070110701107"
E07000151,34UC,Daventry,0,52.316016564327576,-1.048037418619173,112,0
E07000152,34UD,East Northamptonshire,2,52.457664775232594,-0.52341165484076,34,"5,88235294117647"
E07000153,34UE,Kettering,73,52.42612732524138,-0.7654848461025134,264,"27,6515151515151"
E07000154,34UF,Northampton,15,52.241216607348306,-0.886891405534405,1397,"1,07372942018611"
E07000155,34UG,South Northamptonshire,0,52.122592123654265,-1.0426483013135457,48,0
E07000156,34UH,Wellingborough,3,52.28777518188118,-0.7123359542228564,273,"1,0989010989011"
E07000163,36UB,Craven,0,54.07989366866851,-2.1745966301734803,59,0
E07000164,36UC,Hambleton,0,54.28707738799743,-1.3192269974644428,131,0
E07000165,36UD,Harrogate,2,54.06715576886682,-1.5958131937955111,507,"0,394477317554241"
E07000166,36UE,Richmondshire,14,54.36152451583006,-1.9340518414136652,72,"19,4444444444444"
E07000167,36UF,Ryedale,0,54.210596451390366,-0.8522625079805445,46,0
E07000168,36UG,Scarborough,5,54.36651752465954,-0.6354470778709318,455,"1,0989010989011"
E07000169,36UH,Selby,1,53.787118586909045,-1.1346988260408437,356,"0,280898876404494"
E07000170,37UB,Ashfield,0,53.09226912649409,-1.259164646911011,44,0
E07000171,37UC,Bassetlaw,3,53.33280738084643,-0.9588655170709625,355,"0,845070422535211"
E07000172,37UD,Broxtowe,2,52.97644154565124,-1.2621237699686907,196,"1,02040816326531"
E07000173,37UE,Gedling,0,53.02837598704626,-1.1193597989264303,69,0
E07000174,37UF,Mansfield,0,53.17071449972463,-1.172760224865671,312,0
E07000175,37UG,Newark and Sherwood,1,53.12397405768439,-0.9197363655262909,49,"2,04081632653061"
E07000176,37UJ,Rushcliffe,0,52.90083439706981,-1.0375263828850196,36,0
E07000177,38UB,Cherwell,6,51.95886825567989,-1.2758677666929006,427,"1,40515222482436"
E07000178,38UC,Oxford,39,51.75454504081736,-1.2409794203993676,2992,"1,30347593582888"
E07000179,38UD,South Oxfordshire,1,51.63381251487764,-1.0714941987077247,160,"0,625"
